filename,question_1a_health_policy,question_1a_confidence,question_1a_explanation,question_1b_ghpl_categories,question_1b_confidence,question_1b_explanation,metadata_extracted,title,doc_type,health_topic,creator,year,country,language,governance_level,overall_confidence,metadata_completeness,processing_time_seconds,processed,error_message
GBR_B4_9387-2900853-CVD-Outcomes_web1.pdf,True,0.99,"This is an official Department of Health publication (UK) — includes DH letterhead/Gateway reference, publication date (March 2013), target audience (NHS Trust CEs, Directors of PH, local authorities, etc.), and a ministerial foreword signed by the Secretary of State and senior NHS/Public Health executives. It is therefore from an authoritative national health authority.",True,0.95,"The document is a national, disease-specific strategic outcomes strategy for cardiovascular disease that sets ambitions, priorities and ten key actions for commissioners and providers. It provides a national-level plan for controlling/improving outcomes for a specific health problem, matching the GHPL definition of a National Control Plan.",True,Cardiovascular Disease Outcomes Strategy: Improving Outcomes for People With or at Risk of Cardiovascular Disease,National Control Plan,Cardiovascular Health,Ministry,2013,England,English,National,0.985,1.0,128.22,True,
Acep-cruise-ship-health-care-guideliness-final-october-2023.pdf,True,0.95,"Document is published by the American College of Emergency Physicians (ACEP), a recognized professional medical society that issues standards and practice guidance. It includes formal revision and Board of Directors review dates, indicating an authoritative policy/guidance product from a professional health body.",True,0.95,"The content is a structured set of clinical and operational recommendations for cruise ship medical facilities (facility standards, staffing, equipment, pharmacy, infection control, contingency planning). This matches the GHPL definition of a GUIDELINE (clinical/public health practice guidance), not a law, national strategy, or action plan.",True,Cruise Ship Health Care Guidelines,Health Guideline,,Association,2023,United States,English,International,0.861,0.875,175.36,True,
Guidelines-adult-adolescent-arv.pdf,True,0.97,"This document is produced by the U.S. Department of Health and Human Services Panel on Antiretroviral Guidelines for Adults and Adolescents (a government advisory panel) and references NIH Office of AIDS Research Advisory Council (OARAC) and the HHS Clinicalinfo website. It is an official, authoritative source for clinical recommendations on HIV antiretroviral therapy.",True,0.98,"The content is a systematically developed, evidence-based set of clinical recommendations for antiretroviral use (clinical practice guidelines), with structured sections, tables of recommendations, monitoring schedules, and updates — matching the GHPL 'GUIDELINE' category.",True,Guidelines for the Use of Antiretroviral Agents in Adults and Adolescents With HIV,Health Guideline,,Agency,2024,United States,English,National,0.925,0.875,157.32,True,
Final_IDSR_Technical_Guidelines_Final_Version_signed_by_Hon._DG_and_Hon._Minister.pdf,True,0.98,"This is an official publication of the Ministry of Health and the National Public Health Institute of Liberia (government health authorities), adapted from WHO and CDC material and published June 2021. It bears official seals/logos and is clearly a national public health technical document.",True,0.97,"The document is a formal, national-level technical guidance titled 'National Technical Guidelines for Integrated Disease Surveillance & Response' with detailed sections, procedures, and annexes — matching the GHPL 'GUIDELINE' category.",True,National Technical Guidelines for Integrated Disease Surveillance & Response,Health Guideline,,Ministry,2021,Liberia,English,National,0.877,0.875,158.88,True,
APPG-on-LSC-Work-Programme-MP-handout-1.pdf,True,0.9,The document is produced by an APPG (All‑Party Parliamentary Group) on Less Survivable Cancers and bears parliamentary branding. APPGs are parliamentary bodies (linked to Parliament) and the content is aimed at informing parliamentary activity on health — this places it among documents originating from a parliamentary/legislative authority rather than a private source.,True,0.85,"The content is a proposed work programme / mini‑inquiry plan with specific sessions, timelines, and a deliverable (mini‑inquiry report). It functions as a work plan/operational programme for implementing the APPG’s activities, which corresponds to the GHPL category 'ACTION PLAN' (synonyms include work plan/implementation plan). It is not a law, national strategy, guideline, or purely a meeting report.",True,APPG on Less Survivable Cancers: Proposed Work Programme 2025/26 - Mini-Inquiry into Earlier Detection and Faster Diagnosis,Action Plan,Cancer,Parliament,2025,United Kingdom,English,National,0.9,1.0,131.23,True,
Db50.pdf,True,0.99,"This document is an NCHS Data Brief published by the Centers for Disease Control and Prevention (National Center for Health Statistics), a U.S. government public health agency. It reports NHANES-derived surveillance data and is therefore from an authoritative government health source.",False,0.95,"The content is a statistical/data brief presenting prevalence estimates and trends (obesity by income/education). It is a surveillance/reporting document, not a policy, law, national health strategy, national control plan, action plan, or clinical/public‑health guideline.",False,,,,,,,,,,,22.29,True,
2003-141.pdf,True,0.95,"This is a fact sheet published by NIOSH/CDC (U.S. government occupational health agency), an authoritative public health source providing official workplace safety guidance.",False,0.9,"The document is an informational fact sheet/public education sheet about asbestos-contaminated vermiculite. It does not constitute a formal policy, law, national health strategy, national control plan, action plan, or a systematically developed clinical/public health guideline.",False,,,,,,,,,,,25.09,True,
22_0347.pdf,True,0.95,"This article is published in Preventing Chronic Disease, a peer-reviewed journal of the U.S. Centers for Disease Control and Prevention (CDC). Authors are CDC-affiliated and the document carries CDC branding and links — indicating it originates from an authoritative national public health agency.",False,0.9,"The content is a guest editorial / overview of a journal collection summarizing research, programs, and evidence. It is a commentary/research synthesis rather than a formal policy, law, national strategy, national control plan, action plan, or evidence-based guideline, so it does not fit any of the six GHPL categories.",False,,,,,,,,,,,30.99,True,
Db100.pdf,True,0.95,This is a U.S. government statistical publication from the Centers for Disease Control and Prevention / National Center for Health Statistics (NCHS). It contains official survey-based estimates and methods and is therefore from an authoritative public health source.,False,0.95,"The document is a data brief presenting prevalence estimates, methods, and analysis (NHIS data) rather than a policy, law, national strategy, control plan, action plan, or clinical/public-health guideline. It reports findings and statistics and does not set goals, mandates, implementation steps, or clinical recommendations.",False,,,,,,,,,,,32.88,True,
Sacmducs_ccsmmuac_ai-eng.pdf,True,0.95,"The document is produced by Health Canada (Health Products and Food Branch) and contains official material about a federal Scientific Advisory Committee (SAC-MDUCS), including member declarations and the Health Canada logo and letterhead — indicating an authoritative government health source.",False,0.9,"This is an affiliations/interests summary for advisory committee members (transparency/administrative document). It does not present a policy, law, national strategy, control plan, action plan, or clinical/public-health guideline, so it does not fit any of the six GHPL categories.",False,,,,,,,,,,,34.97,True,
38-10-en-2-jiang.pdf,False,0.9,"This is a peer‑reviewed original research article published in an academic journal by university researchers with links to agencies (Cancer Care Ontario, ICES). It reports methods, results and discussion of a population‑based study rather than being issued as an official policy, guidance, law or strategy from a government or standard‑setting health authority.",False,0.95,"The document is primary research (quantitative study) describing detection methods, diagnostic intervals and service use. It does not contain policy statements, legal/regulatory text, a national strategy/control plan, implementation action plan, or systematically developed clinical/public‑health guideline — therefore it does not fit any of the six GHPL categories.",False,,,,,,,,,,,39.61,True,
Db80.pdf,True,0.95,"This document is an NCHS Data Brief (No. 80) published by the Centers for Disease Control and Prevention’s National Center for Health Statistics — a U.S. federal government public health agency. It carries CDC/NCHS attribution and presents official vital statistics data, so it is from an authoritative health source.",False,0.9,"The document is a statistical data brief reporting trends in twin births (1980–2009), including methods, figures, and references. It does not set policy goals, regulations, a national health strategy, an implementation/action plan, or provide clinical/public health practice guidelines. Therefore it does not fit any of the six GHPL categories.",False,,,,,,,,,,,18.3,True,
ASGM_Ghana_ICA_21052020_web.pdf,False,0.9,"The document is a WHO/UNIDO-funded institutional assessment (WHO Country Office for Ghana involvement is visible). It is produced by a UN agency/technical partner rather than a national government ministry, parliament, or national public health institute, so it does not meet the criterion of being from an authoritative national health source.",False,0.9,"This is an institutional capacity assessment report that reviews readiness, gaps and makes recommendations to inform a Public Health Strategy. It does not itself constitute a formal policy, law, national health strategy, national control plan, action plan with implementation details, or an evidence-based clinical/public health guideline.",False,,,,,,,,,,,41.59,True,
Standardised-recipes-for-canteens.pdf,False,0.9,"The document is a consumer-facing healthy eating / recipe brochure bearing the Heart Foundation logo. It appears to be produced by an NGO/charitable health organisation for public education. It lacks indicators of an authoritative government or official health body (no ministerial foreword, no legal language, no version control or official seal).",False,0.95,"The content consists of recipes, meal checklists and healthy-cooking tips for the public — educational/patient information. It does not present a formal policy, law, national strategy, control plan, implementation/action plan, nor a systematically developed clinical or public-health guideline.",False,,,,,,,,,,,58.28,True,
5e3a6502951fa21f520330b2.pdf,False,0.95,"The document is published by the World Health Organization (WHO) — a UN agency. Per the user's explicit criteria, WHO/UN agency documents should be marked FALSE for 'authoritative health source' (the TRUE category is reserved for national governmental authorities, ministries, national public health institutes, or professional medical societies).",True,0.85,"The report provides high‑level, strategic recommendations, priorities and policy‑oriented actions for cancer control (goals, priorities, roles, and recommended national actions). This aligns best with the GHPL 'POLICY' category (a high‑level policy/framework document). It is not a law, national health strategy or national control plan for a specific country, nor a formal clinical guideline or a detailed operational/action plan.",False,,,,,,,,,,,59.07,True,
Blood-pressure-maori-brochure.pdf,False,0.9,"This is a patient education brochure produced by the Heart Foundation (charitable NGO). It is health-related but not from a government ministry, national public health institute, or formal regulatory authority and contains no official policy or regulatory authority language.",False,0.95,"The content is a public-facing informational/educational brochure about blood pressure (Māori language). It does not present a law, national strategy, control plan, action plan, policy framework, or an evidence-review clinical guideline — it is patient educational material, which GHPL guidance excludes.",False,,,,,,,,,,,27.39,True,
Heartsine-Samaritan-PAD-350P_Brochure.pdf,False,0.95,"This is a commercial product data sheet/brochure for the HeartSine samaritan PAD AEDs distributed by HTM Medico / Stryker. It contains technical specifications, features, and distributor contact details rather than content from a government, WHO, or official health authority.",False,0.95,"Does not match any GHPL category. The document is product information/technical specifications and marketing material (datasheet), not a policy, law, national strategy, control plan, action plan, or evidence-based clinical/public health guideline.",False,,,,,,,,,,,28.07,True,
Report_on_the_Strategic_Response_to_COVID-19_in_the_WHO_African_Region_-_February_to_December_2020.pdf,False,0.95,"This is a report published by the World Health Organization Regional Office for Africa (a UN agency). Per the provided criteria, documents from WHO/UN agencies should be marked FALSE (the question’s TRUE list is restricted to national/governmental public health authorities or professional societies).",False,0.95,"The document is a regional after-action/strategic response report summarizing activities, lessons learnt, and recommendations. It is not a national policy, law, national health strategy, disease-specific national control plan, implementation/action plan with concrete timelines/responsibilities, nor a clinical/public-health guideline produced through a formal evidence-review process—so it does not fit any of the 6 GHPL categories.",False,,,,,,,,,,,27.56,True,
Mm7308a1-H.pdf,True,0.95,"This is an MMWR report published by the U.S. Centers for Disease Control and Prevention (CDC), U.S. Department of Health and Human Services — a national government public health authority. The document is an official epidemiologic report from an authoritative health agency.",False,0.93,"The content is an epidemiologic/analytical surveillance report on alcohol-attributable deaths (MMWR article). It presents data, methods, results, and public health implications but does not constitute a policy, law, national health strategy, national control plan, action plan, or formal clinical/public health guideline.",False,,,,,,,,,,,23.59,True,
Topping-ideas-for-baking.pdf,False,0.85,"The material is produced by the Heart Foundation (heartfoundation.org.nz), a non-governmental health charity/advocacy organisation in New Zealand. It is a public education brochure rather than a government ministry, national public health institute, or professional medical society issuing formal policy or standards. There is no evidence on the page of quasi-official/governmental authority or mandate that would make it an official policy document.",False,0.95,"This is an informational/educational brochure with tips for healthier baking toppings (images, short advice). It lacks the characteristics of any GHPL category (no policy language, legal authority, strategic goals, implementation timelines, or systematic evidence-based recommendations typical of official guidelines). Educational materials/brochures are explicitly excluded from the GHPL categories.",False,,,,,,,,,,,81.96,True,
Drug-free-workplace-policy.pdf,False,0.95,"This is an internal Drug Free Workplace policy and consent form from H. Lee Moffitt Cancer Center (an individual hospital/research institute). It is not from a government agency, national public health institute, or professional medical society, so it does not meet the criterion for an authoritative health source.",False,0.95,"The document is an institutional workplace policy and post-offer drug testing consent form. It is not a national-level policy, law, national health strategy, national control plan, action/implementation plan, or an evidence-based clinical/public health guideline as defined by the GHPL categories.",False,,,,,,,,,,,26.24,True,
24_0501.pdf,True,0.95,This document is published in the CDC journal 'Preventing Chronic Disease' and authored by CDC-affiliated authors (Division of Diabetes Translation) with CDC hosting/branding — a national public health institute (government) and therefore an authoritative health source.,False,0.95,"The text is a guest editorial/review and collection summary of public health research and program strategies. It is not a formal policy, law, national health strategy, national control plan, action plan, or evidence-based guideline: it lacks official approval language, binding directives, implementation timelines, or guideline recommendation structure.",False,,,,,,,,,,,45.78,True,
Cholesterol-pamphlet-hindi.pdf,False,0.85,"This is a consumer-facing patient information leaflet produced by the Heart Foundation (charitable NGO) — it contains logos and a heartfoundation.org.nz link. It is educational material rather than a formal government, ministry, national public health institute, or professional society policy document. There is no ministerial/official approval language or legal authority shown to indicate a government/official health-policy source.",False,0.9,"The content and structure are clearly a patient brochure (information on cholesterol, risk-reduction tips, questions for clinicians, checklists and icons). It does not contain policy goals, legal text, national strategy, control plan, implementation actions with timelines/responsibilities, or systematic evidence-based clinical recommendations typical of GHPL guideline documents.",False,,,,,,,,,,,32.8,True,
Nvs47_03.pdf,True,0.95,"This is an official publication from the U.S. federal public health agency — Centers for Disease Control and Prevention (CDC), National Center for Health Statistics (NCHS) — describing national vital statistics methods and the implementation of the Year 2000 standard. That makes it an authoritative government health source.",False,0.9,"This document is a technical/statistical report (National Vital Statistics Report) describing methods, data, and recommendations for implementing a new age‑standard population. It is not a formal policy instrument, law, national health strategy, national control plan, implementation action plan with detailed responsibilities/resources, or an evidence‑based clinical/public‑health guideline as defined by the GHPL glossary. Although it reports that DHHS adopted the recommendation as policy and gives implementation recommendations, the report itself is a technical/statistical publication rather than one of the six GHPL document types.",False,,,,,,,,,,,56.32,True,
Choosing-a-school-food-supplier.pdf,False,0.9,"The document is produced by the Heart Foundation (logo and heartfoundation.org.nz present) — a non-governmental health charity/NGO. It is an informational brochure aimed at schools, not a formal document issued by a government ministry, national public health institute, or professional medical regulatory body. It references Ministry of Health guidance but is not itself an official government policy or statutory instrument.",False,0.9,"The content is a practical brochure/checklist giving advice on choosing an external school food provider. It is educational/public-facing material (tips, checklist) rather than a formal POLICY, LAW, NATIONAL STRATEGY, NATIONAL CONTROL PLAN, ACTION PLAN, or a systematically-developed evidence-based GUIDELINE as defined by GHPL. Therefore it does not fit any of the six GHPL categories.",False,,,,,,,,,,,84.61,True,
Db494.pdf,True,0.95,"This is a publication from the National Center for Health Statistics (NCHS), part of the U.S. Centers for Disease Control and Prevention and the U.S. Department of Health and Human Services, which are authoritative government health agencies. The report uses NHIS survey data and carries CDC/NCHS letterhead and contact information.",False,0.92,"The document is an NCHS Data Brief presenting prevalence statistics, methods, figures, and references (a descriptive data report). It does not set policy, law, a national strategy/control plan, action plan, or provide evidence-based clinical/public health recommendations in the format of official guidelines, so it does not fit any of the six GHPL categories.",False,,,,,,,,,,,36.0,True,
A4_SA_TPS_Short_Report_10June20_Final_highres.pdf,,,No assessment,,,No assessment,False,,,,,,,,,,,37.8,True,
9vhpv-guidance.pdf,True,0.99,This document is from the U.S. Centers for Disease Control and Prevention (National Center for Immunization and Respiratory Diseases) and summarizes ACIP vaccination recommendations — an authoritative government public health source.,False,0.9,"The content is a supplemental guidance/fact-sheet for vaccination providers summarizing ACIP recommendations. It is informational/provider guidance rather than a formal policy, law, national strategy/control plan, action plan, or a systematically developed clinical guideline as defined by the GHPL glossary.",False,,,,,,,,,,,55.29,True,
Kenya-National-Strategy-for-NCDs-2015-2020.pdf,True,0.98,"This is an official Ministry of Health document (Republic of Kenya, Ministry of Health) with ministerial/preface text, government logos, contact details for the Division of Non-communicable Diseases and formal structure — clear evidence it is from an authoritative national health authority.",True,0.95,"The content is a country-level strategic document focused on prevention and control of a specific health problem (non-communicable diseases) with goals, strategic objectives, implementation framework and monitoring — matching the GHPL definition of a National Control Plan (disease/condition-specific national strategic plan).",True,Kenya National Strategy for the Prevention and Control of Non-Communicable Diseases 2015 - 2020,National Control Plan,Non-Communicable Disease,Ministry,2015,Kenya,English,National,0.985,1.0,170.14,True,
23_0352.pdf,True,0.95,"This document is an original research article published in Preventing Chronic Disease, a peer-reviewed journal of the Centers for Disease Control and Prevention (CDC), a national public health agency — an authoritative health source.",False,0.95,"The content is a qualitative research study describing implementation issues and findings; it is not a policy, law, national health strategy, national control plan, action plan, or official guideline. It is a research article, which the GHPL glossary excludes.",False,,,,,,,,,,,25.6,True,
40026.pdf,True,0.92,"This is a procurement plan for Phase II consultancies for a health project (mentions PMU, DPMU, CEmONC hospitals, regions, and coordination with the World Bank). The content and structure (procurement table, package numbers, TOR dates) indicate it originates from a government health project office/authority rather than a commercial or academic source.",True,0.9,"The document is an implementation-focused procurement/action plan listing specific activities, timelines, responsibilities (package descriptions, selection methods, costs, dates) for executing Phase II consultancies. This matches the GHPL 'Action Plan' category (operational/implementation plan).",True,Procurement Plan for Phase II Consultancies,Action Plan,Non-Communicable Disease,,2007,India,English,Regional,0.826,0.875,128.77,True,
Smoking-tongan.pdf,True,0.88,"The document is produced by the Heart Foundation (heartfoundation.org.nz) — a national non‑governmental health charity/organization that provides authoritative public health information and resources. It contains organization logo, website and contact details, and health-focused guidance aimed at the public, so it qualifies as an authoritative health source (NGO/foundation category).",False,0.95,"The content is a patient/public education brochure about quitting smoking and reducing heart attack/stroke risk. It is an informational fact sheet/pamphlet, not a formal policy, law, national strategy/control plan, action plan, or evidence-based clinical guideline, so it does not fit any of the six GHPL categories.",False,,,,,,,,,,,11.91,True,
WHO_Sierra_Leone_Country_Cooperation_Strategy_2017_2021.pdf,False,0.92,"This document is published by the World Health Organization (WHO) Regional Office for Africa as the ""WHO Country Cooperation Strategy, Sierra Leone, 2017–2021."" WHO is a UN agency and an authoritative global health organization, but the GHPL question’s definition of “authoritative health source” asks specifically for national authorities (government ministries, national public health institutes, professional medical societies). Because this is a WHO/UN agency product rather than a national government or equivalent authority document, it does not meet the strict TRUE criteria provided.",False,0.9,"The document is a WHO Country Cooperation Strategy describing WHO’s strategic priorities and planned cooperation with Sierra Leone. It is not a national policy or law issued by the Government of Sierra Leone, nor is it a national health strategy, national control plan, implementation/action plan, or clinical/public-health guideline as defined by the GHPL categories. Therefore it does not fit any of the six specified GHPL document categories.",False,,,,,,,,,,,55.0,True,
SFG5048-V2-REVISED-EA-P167581-PUBLIC-Disclosed-2-26-2019.pdf,True,0.95,"The document is produced by the Project Management Unit, Department of Health, Medical & Family Welfare (DoHMFW) for the Andhra Pradesh Health Systems Strengthening Project and documents district-level stakeholder consultations. It is therefore from a government health authority (an authoritative health source).",False,0.9,"The content is a stakeholder consultation / meeting report (part of an Environmental and Social Management Framework report). It documents consultations, footfall, infrastructure, waste management, IEC activities, etc., and does not present a formal national policy, law, national health strategy, disease control plan, implementation/action plan, or evidence‑based clinical guideline.",False,,,,,,,,,,,42.47,True,
Policy_630.00_-_Cardiovascular_Receiving_Center_Criteria_-_07-01-2021.pdf,True,0.95,"Document is an official Orange County EMS Agency Policy/Procedure (local government health/EMS authority) with agency letterhead, policy number, and effective dates — an authoritative health agency source.",True,0.9,"This is an official policy/procedure that defines criteria, roles, and operational requirements for Cardiovascular Receiving Centers (designation, responsibilities, data collection, QA). It matches the GHPL 'POLICY' category (formal government policy statement/procedure).",True,Cardiovascular Receiving Center Criteria,Policy,Cardiovascular Health,Agency,2021,United States,English,Regional,0.985,1.0,172.36,True,
GBR_B5_Cancer_fourth_annual_report.pdf,True,0.95,"This is an official joint publication from UK government health bodies (Department of Health, Public Health England and NHS England). It includes a ministerial foreword, formal contact details, policy purpose and national-level actions on cancer, indicating it is an authoritative health policy document.",True,0.9,"The document is a national, disease-specific cancer strategy ('Improving Outcomes: A Strategy for Cancer') setting goals, priorities and national actions to improve cancer outcomes — matching the GHPL definition of a National Control Plan (national strategic plan for a specific disease).",True,Improving Outcomes: A Strategy for Cancer – Fourth Annual Report,National Control Plan,Cancer,Ministry,2014,England,English,National,0.92,1.0,190.29,True,
USA_B23_S23_2.23_Voluntary_Marketing_Guidelines.pdf,False,0.9,"This appears to be material from the Children’s Food and Beverage Advertising Initiative (CFBAI) — an industry self-regulatory initiative (hosted by BBB National Programs and participating food companies). It is not produced by a government health agency, national public health institute, WHO/UN, or a professional medical society that sets official health policy.",False,0.9,"The content is an informational/organizational webpage (overview, FAQs, press releases, compliance reports, participant logos) about a voluntary industry initiative. It does not read like a formal policy, law, national health strategy, national control plan, action plan, or evidence-based clinical/public-health guideline.",False,,,,,,,,,,,33.67,True,
NHIA_v2_2_1_09122011.pdf,True,0.95,"This document is published by NAACCR (North American Association of Central Cancer Registries), a professional association that sets standards for cancer registry data and works closely with public health agencies (CDC is cited as a funder). It provides official, standardized guidance intended for use by central cancer registries, so it qualifies as an authoritative health source/standards-setting body.",True,0.95,"The content is a formal, versioned, procedural guidance document presenting an evidence-informed algorithm and step-by-step instructions for identifying Hispanic/Latino ethnicity in cancer registry data, including procedural considerations and appendices. This matches the GHPL definition of a GUIDELINE.",True,NAACCR Guideline for Enhancing Hispanic-Latino Identification: Revised NAACCR Hispanic/Latino Identification Algorithm [NHIA v2.2.1],Health Guideline,Cancer,Association,2011,United States,English,International,0.955,1.0,187.27,True,
State-leg-update-may-17-2024.pdf,True,0.95,"This is a State Legislative Update published by the American College of Surgeons (ACS) State Affairs office (contact emails at facs.org, ACS State Affairs Workgroup noted). ACS is a professional medical society/association that sets standards and engages in policy — an authoritative health source per the provided criteria.",False,0.9,"The document is a newsletter/legislative update summarizing state bills, enacted laws, and ACS priorities. It is an informational bulletin, not a formal policy, law text, national strategy, control plan, action plan, or evidence-based clinical guideline. Thus it does not fit any of the six GHPL categories.",False,,,,,,,,,,,32.67,True,
Nvsr68_05-508.pdf,True,0.95,This is a National Vital Statistics Report produced by the U.S. Department of Health & Human Services / CDC (National Center for Health Statistics) — an official government public health agency and authoritative source for mortality statistics.,False,0.95,"The document is a statistical mortality trends report (data analysis / research brief). It does not contain policy statements, laws, a national strategy, a disease control plan, an implementation/action plan, or clinical/public-health practice guidelines, so it does not fit any of the six GHPL categories.",False,,,,,,,,,,,30.45,True,
USA_B4_Million_Hearts.pdf,True,0.95,"This document is an official public-facing progress/reporting brief for the Million Hearts® initiative produced by HHS partners (CDC and CMS). It includes messages from the CDC Director and the CMS Administrator, uses government logos and references federal programs and investments, indicating it originates from authoritative U.S. government health agencies.",False,0.9,"The content is a progress/update and outreach report summarizing activities, achievements, resources, and partner engagement. It does not present a formal policy framework, binding regulation, national health strategy or control plan, an implementation/action plan with detailed timelines/responsibilities, nor systematic evidence-based clinical guidelines. Therefore it does not match any of the six GHPL categories.",False,,,,,,,,,,,39.16,True,
